Datetime,Water Level (m)
2023-12-10 06:00:00,0.21508113
2023-12-10 07:00:00,0.0012759828
2023-12-10 08:00:00,-0.19034243
2023-12-10 09:00:00,-0.35144615
2023-12-10 10:00:00,-0.47659102
2023-12-10 11:00:00,-0.5677032
2023-12-10 12:00:00,-0.6556309
2023-12-10 13:00:00,-0.63065106
2023-12-10 14:00:00,-0.29041448
2023-12-10 15:00:00,-0.0153141385
2023-12-10 16:00:00,0.2059635
2023-12-10 17:00:00,0.39226112
2023-12-10 18:00:00,0.43863407
2023-12-10 19:00:00,0.34315956
2023-12-10 20:00:00,0.1228324
2023-12-10 21:00:00,-0.049015757
2023-12-10 22:00:00,-0.18778601
2023-12-10 23:00:00,-0.2899301
2023-12-11 00:00:00,-0.39103547
2023-12-11 01:00:00,-0.4727678
2023-12-11 02:00:00,-0.43904626
2023-12-11 03:00:00,-0.16227417
2023-12-11 04:00:00,0.03126578
2023-12-11 05:00:00,0.16698621
2023-12-11 06:00:00,0.23475385
2023-12-11 07:00:00,0.12029634
2023-12-11 08:00:00,-0.10773435
2023-12-11 09:00:00,-0.28481108
2023-12-11 10:00:00,-0.43078744
2023-12-11 11:00:00,-0.53765875
2023-12-11 12:00:00,-0.6300255
2023-12-11 13:00:00,-0.70632297
2023-12-11 14:00:00,-0.5469837
2023-12-11 15:00:00,-0.19935194
2023-12-11 16:00:00,0.056880895
2023-12-11 17:00:00,0.3047673
2023-12-11 18:00:00,0.4753246
2023-12-11 19:00:00,0.5146595
2023-12-11 20:00:00,0.37848487
2023-12-11 21:00:00,0.14425585
2023-12-11 22:00:00,-0.025949437
2023-12-11 23:00:00,-0.1693665
2023-12-12 00:00:00,-0.28322306
2023-12-12 01:00:00,-0.4005737
2023-12-12 02:00:00,-0.4885411
2023-12-12 03:00:00,-0.35912508
2023-12-12 04:00:00,-0.06510184
2023-12-12 05:00:00,0.11551917
2023-12-12 06:00:00,0.2584157
2023-12-12 07:00:00,0.27349433
2023-12-12 08:00:00,0.09942258
2023-12-12 09:00:00,-0.12875734
2023-12-12 10:00:00,-0.2850823
2023-12-12 11:00:00,-0.4265756
2023-12-12 12:00:00,-0.52525884
2023-12-12 13:00:00,-0.6216695
2023-12-12 14:00:00,-0.6742001
2023-12-12 15:00:00,-0.38701123
2023-12-12 16:00:00,-0.047229335
2023-12-12 17:00:00,0.2231806
2023-12-12 18:00:00,0.4944614
2023-12-12 19:00:00,0.63184714
2023-12-12 20:00:00,0.61251867
2023-12-12 21:00:00,0.393167
2023-12-12 22:00:00,0.16510919
2023-12-12 23:00:00,-0.0074418783
2023-12-13 00:00:00,-0.14461763
2023-12-13 01:00:00,-0.2652265
2023-12-13 02:00:00,-0.3847073
2023-12-13 03:00:00,-0.45800254
2023-12-13 04:00:00,-0.24442604
2023-12-13 05:00:00,0.028513307
2023-12-13 06:00:00,0.20107825
2023-12-13 07:00:00,0.32610652
2023-12-13 08:00:00,0.27912477
2023-12-13 09:00:00,0.05294008
2023-12-13 10:00:00,-0.15911002
2023-12-13 11:00:00,-0.31029543
2023-12-13 12:00:00,-0.4410121
2023-12-13 13:00:00,-0.5411563
2023-12-13 14:00:00,-0.63713413
2023-12-13 15:00:00,-0.63657737
2023-12-13 16:00:00,-0.27589053
2023-12-13 17:00:00,0.046995003
2023-12-13 18:00:00,0.33584303
2023-12-13 19:00:00,0.587943
